anioTemporada,equipo,posicion,puntos,pilotos
2005,Renault,1,191,Fernando Alonso / Giancarlo Fisichella
2005,McLaren-Mercedes,2,182,Kimi Räikkönen / Juan Pablo Montoya
2005,Ferrari,3,100,Michael Schumacher / Rubens Barrichello
2005,Toyota,4,88,Ralf Schumacher / Jarno Trulli
2005,Williams-BMW,5,66,Mark Webber / Nick Heidfeld
2005,BAR-Honda,6,38,Jenson Button / Rubens Barrichello
2005,Red Bull-Cosworth,7,34,David Coulthard / Christian Klien
2005,Sauber-Petronas,8,20,Felipe Massa / Jacques Villeneuve
2005,Jordan-Toyota,9,12,Tiago Monteiro / Narain Karthikeyan
2005,Minardi-Cosworth,10,7,Christijan Albers / Patrick Friesacher
