nombreCompleto,edad,nacionalidad,victorias,equipo,apodoAcronimo,rutaFoto
Fernando Alonso,24,Español,7,Mild Seven Renault F1 Team,ALO,https://images.daznservices.com/di/library/DAZN_News/f1/38/fernando-alonso-interlagos-2005_koxaatmhx5s31mu2omoyxsyu6.jpg?t=-538406268
Kimi Räikkönen,26,Finlandés,9,West McLaren Mercedes,RAI,https://cdn-1.latimages.com/images/mgl/elJWV/s4/open-uri20120928-10573-1ow2wo1.jpg
Michael Schumacher,36,Alemán,84,Scuderia Ferrari Marlboro,MSC,https://i.pinimg.com/736x/9d/ab/6f/9dab6f986a52ec5dbe3d31741de9a681.jpg
Juan Pablo Montoya,30,Colombiano,4,West McLaren Mercedes,MOY,https://i.pinimg.com/236x/5e/a5/5c/5ea55cebde4a78aaa2eb68d66bc48ffb.jpg
Giancarlo Fisichella,32,Italiano,2,Mild Seven Renault F1 Team,FIS,https://www.taipeitimes.com/images/2005/03/07/20050306213832.jpeg
Ralf Schumacher,30,Alemán,6,Panasonic Toyota Racing,RSC,https://www.gasolinasuper.es/wp-content/uploads/2015/04/ralfschumacher.png
Jarno Trulli,31,Italiano,1,Panasonic Toyota Racing,TRU,https://cdn-1.motorsport.com/static/img/archive/autosport/gallery/350_1009882/s8/1009882.jpg
Rubens Barrichello,33,Brasileño,9,Scuderia Ferrari Marlboro,BAR,https://albaco.com/cdn/shop/products/zs258_ferrari_official_card_-_rubens_barrichello_2005__0-05_-a_1200x1200.jpg?v=1571746631
Jenson Button,25,Británico,0,Lucky Strike BAR Honda,BUT,https://autosportworld.info/images/f1/drivers/29/2005.jpg
Mark Webber,28,Australiano,0,BMW WilliamsF1 Team,WEB,https://primotipo.com/wp-content/uploads/2015/08/webbo.png
Nick Heidfeld,28,Alemán,0,BMW WilliamsF1 Team,HEI,https://cdn-4.latimages.com/images/mgl/7eMkJ/s4/open-uri20120928-31998-1nvsesf.jpg
David Coulthard,34,Británico,13,Red Bull Racing,COU,https://cdn-1.latimages.com/images/mgl/2pWJK/s4/open-uri20120928-10573-b49q8u.jpg
Felipe Massa,24,Brasileño,0,Sauber Petronas,MAS,https://cdn-1.latimages.com/images/mgl/X31M6/s4/open-uri20120928-10573-1up2m5m.jpg
Jacques Villeneuve,34,Canadiense,11,Sauber Petronas,VIL,https://cdn-3.latimages.com/images/mgl/zpZOL/s4/open-uri20120928-20488-8yfruz.jpg
Christian Klien,22,Austríaco,0,Red Bull Racing,KLI,https://cdn-5.latimages.com/images/mgl/J3vyM/s4/open-uri20120928-10573-1fj3iml.jpg
Tiago Monteiro,29,Portugués,0,Jordan Grand Prix,MON,https://cdn-6.latimages.com/images/mgl/W9O6r/s4/open-uri20120928-10573-yjjg3j.jpg
Alexander Wurz,31,Austríaco,0,McLaren Mercedes (Tester),WUR,https://www.tagesspiegel.de/images/1558117/alternates/BASE_1_1_W1000/1658542696000/071010wurz.jpeg
Narain Karthikeyan,28,Indio,0,Jordan Grand Prix,KAR,https://f1i.com/wp-content/uploads/2018/02/XPB_59123_Karth.jpg
Christijan Albers,26,Neerlandés,0,Minardi F1 Team,ALB,https://www.f1-fansite.com/wp-content/uploads/2012/11/CA.jpg
Patrick Friesacher,25,Austríaco,0,Minardi F1 Team,FRI,https://cdn-4.latimages.com/images/mgl/xZ4O2/s4/open-uri20120928-10573-1v0vatn.jpg
Robert Doornbos,23,Neerlandés,0,Minardi F1 Team,DOO,https://cdn-7.latimages.com/images/mgl/gALn9/s4/open-uri20120928-10573-1v3r97m.jpg
Takuma Sato,28,Japonés,0,Lucky Strike BAR Honda,SAT,https://s2-ge.glbimg.com/5bTbaWcYe9C7JdAsWaBnGVvw98Q=/0x0:3368x2276/924x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2019/B/k/WM35yQTsC6Ywwf7SreSw/gettyimages-50979730.jpg
Vitantonio Liuzzi,24,Italiano,0,Red Bull Racing,LIU,https://cdn-2.latimages.com/images/mgl/M3GgX/s4/open-uri20120928-10573-1cp0t9d.jpg
Ricardo Zonta,29,Brasileño,0,Toyota F1 Team (Tester),ZON,https://cdn-7.latimages.com/images/mgl/kAN8n/s4/open-uri20120928-10573-ys275t.jpg
Anthony Davidson,26,Británico,0,Lucky Strike BAR Honda (Tester),DAV,https://autosportworld.info/images/f1/drivers/264/2005.jpg
Pedro de la Rosa,34,Español,0,McLaren Mercedes (Tester),DLR,https://cdn-3.latimages.com/images/mgl/KnjoQ/s4/open-uri20120928-10573-nwjop2.jpg
